PRKAA1	PRKAG3
PRKAA1	PRKAB2
PRKAA1	PRKAG1
PRKAB1	PRKAG1
RAMP1	CALCR
IAPP	RAMP2
IAPP	CALCR
IAPP	RAMP1
IAPP	RAMP3
RAMP2	CALCR
CALCR	RAMP3
TEK	SHC1
ANGPT1	SHC1
ANGPT2	TEK
ANGPT4	TEK
ANGPTL8	ANGPTL3
PPP2R1A	ANKLE2
PPP2CA	ANKLE2
PPP2R2A	ANKLE2
VRK1	ANKLE2
S100A10	ANXA2
CLTA	HLA-DPA1
AP1G1	HLA-DRA
AP1M1	HLA-DPA1
AP1S3	CLTC
CLTA	HLA-DQA1
AP1M2	HLA-DPA1
AP1B1	CLTA
AP1B1	HLA-DQA2
AP1M2	CLTC
AP1S2	CLTC
AP1S2	HLA-DPA1
CLTC	HLA-DPA1
AP1S3	HLA-DPA1
AP1G1	CLTA
AP1S1	HLA-DRA
AP1M2	HLA-DRA
AP1S3	HLA-DQA1
HLA-DQA1	DNM2
CLTC	HLA-DRA
AP1S3	CD74
HLA-DQA2	DNM2
AP1G1	HLA-DPA1
AP1M2	HLA-DQA2
AP1B1	CLTC
AP1M2	DNM2
AP1S2	CLTA
CLTA	CD74
AP1B1	HLA-DQA1
AP1S2	HLA-DQA1
AP1S3	HLA-DQA2
CLTA	HLA-DQA2
CLTC	DNM2
AP1S1	HLA-DPA1
AP1S2	HLA-DQA2
AP1S1	CD74
AP1B1	DNM2
AP1G1	HLA-DQA1
AP1M1	CLTA
AP1M1	HLA-DQA2
AP1S3	DNM2
AP1S1	CLTC
CLTC	HLA-DQA1
AP1G1	CLTC
AP1M2	CD74
CD74	DNM2
AP1S1	HLA-DQA2
AP1M1	DNM2
AP1M1	HLA-DQA1
AP1B1	HLA-DRA
AP1S2	CD74
AP1M1	CD74
CLTA	HLA-DRA
AP1S1	CLTA
AP1G1	DNM2
AP1S1	DNM2
AP1G1	CD74
AP1M1	HLA-DRA
AP1M2	CLTA
CLTC	CD74
AP1B1	CD74
AP1M1	CLTC
AP1G1	HLA-DQA2
AP1S2	DNM2
AP1S1	HLA-DQA1
HLA-DPA1	DNM2
CLTA	DNM2
HLA-DRA	DNM2
AP1S3	HLA-DRA
AP1M2	HLA-DQA1
AP1S3	CLTA
AP1B1	HLA-DPA1
AP1S2	HLA-DRA
CLTC	HLA-DQA2
AP1G1	AP1M1
AP1S1	AP1B1
AP1S2	AP1B1
AP1S2	AP1M1
AP1G1	AP1M2
AP1S2	AP1M2
AP1G1	AP1S2
AP1B1	AP1M2
AP1G1	AP1S3
AP1S1	AP1M2
AP1G1	AP1S1
AP1G1	AP1B1
AP1S3	AP1M1
AP1S3	AP1B1
AP1S3	AP1M2
AP1B1	AP1M1
AP1S1	AP1M1
TP53	FOS
TP53	JUN
TP53	ATF2
AP2A2	AP2M1
AP2A2	AP2B1
AP2M1	AP2B1
AP2S1	AP2M1
AP2A1	AP2M1
AP2A2	AP2S1
AP2S1	AP2B1
AP2A1	AP2S1
AP2A1	AP2B1
POT1	H4C16
POT1	H3-4
HGS	CHMP2A
AP1G2	CHMP2A
HGS	AP1G2
KIF4A	AP2A2
KIF4A	AP2M1
KIF4A	AP2A1
KIF4B	SH3GL2
KIF4A	L1CAM
KIF4B	CLTA
KIF4B	AP2B1
KIF4B	CLTC
KIF4B	AP2S1
KIF4B	AP2A2
KIF4B	AP2M1
KIF4B	AP2A1
KIF4A	AP2B1
KIF4A	SH3GL2
KIF4A	CLTA
KIF4B	L1CAM
KIF4A	AP2S1
KIF4A	CLTC
AP4E1	AP4M1
AP4M1	AP4S1
AP4E1	AP4S1
AP4B1	AP4M1
AP4B1	AP4S1
AP4B1	AP4E1
AP4B1	APP
AP4E1	APP
AP4S1	APP
AP4M1	APP
CYCS	APAF1
CASP9	CYCS
CASP9	APAF1
AVEN	APAF1
APIP	CASP9
APIP	CYCS
APIP	APAF1
XIAP	CASP9
